Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Tarean Folston,Notre Dame,RB,69,214,,,,,,,,,4.2,11.53
2017,Isaiah Ford,Virginia Tech,WR,73,194,9.25,32.63,,4.61,14,35.5,127,6.94,,
2017,Rudy Ford,Auburn,S,71,205,8.88,30,,,20,,,,4.21,11.22
2017,D'Onta Foreman,Texas,RB,72,233,10.13,31.38,,,18,,,,4.28,
2017,Reuben Foster,Alabama,LB,72,229,10.25,32.38,,,,,,,,
2017,Leonard Fournette,LSU,RB,72,240,9.25,31.63,,4.51,,28.5,,,,
2017,Kyle Fuller,Baylor,CB,72,190,9.38,32.88,,4.49,12,38.5,128,6.9,,
2017,Wayne Gallman,Clemson,RB,72,215,9.13,32.63,,4.6,21,29.5,120,7.17,4.13,11.92
2017,Antonio Garcia,Troy,OT,78,302,9.88,33.38,,5.15,24,31,108,7.98,,
2017,Myles Garrett,Texas A&M,DE,76,272,10.25,35.25,,4.64,33,41,128,,4.2,11.43
2017,Ben Gedeon,Michigan,ILB,74,244,10,32.63,,4.75,27,34.5,119,6.98,4.39,11.84
2017,Avery Gennesy,Texas A&M,OT,75,318,9.5,33.63,,5.35,24,20,91,8.08,4.9,
2017,Nate Gerry,Nebraska,S,74,218,9.25,31.25,,4.58,17,30.5,122,,,
2017,Shelton Gibson,West Virginia,WR,71,191,8.88,32,,4.5,8,32,118,6.83,4.35,11.79
2017,Ryan Glasgow,Michigan,DT,75,302,9.63,33.38,,5.13,20,27.5,105,7.55,4.62,
2017,Davon Godchaux,LSU,DT,75,310,10.25,32.38,,5.27,18,,,,4.43,
2017,Kenny Golladay,Northern Illinois,WR,76,218,9.75,32,,4.5,18,35.5,120,7,,
2017,Zane Gonzalez,Arizona State,K,72,202,9,29.5,,,,,,,,
2017,Evan Goodman,Arizona State,OG,76,306,,,,,,,,,4.81,
2017,Shaquill Griffin,Central Florida,DB,72,194,8.75,32.38,,4.38,17,38.5,132,6.87,,
2017,Nate Hairston,Temple,CB,72,196,9.5,31,,4.52,14,35.5,118,,4.45,
2017,Daeshon Hall,Texas A&M,DE,77,266,9.63,35,,4.76,18,36,123,7.03,4.63,
2017,Chad Hansen,California,WR,74,202,10.13,32.13,,4.53,11,35,119,6.74,4.01,11.17
2017,Sean Harlow,Oregon St.,OG,76,303,9.5,32,,5.15,26,30.5,105,8.16,,
2017,Charles Harris,Missouri,DE,75,253,9.63,32.38,,4.82,21,32,109,7.47,4.56,
2017,Connor Harris,Lindenwood,ILB,71,242,9.38,30.13,,4.73,18,33,114,7.13,4.18,
2017,Josh Harvey-Clemons,Louisville,S,76,217,10.38,35.38,,,12,31.5,121,,,
2017,Keon Hatcher,Arkansas,WR,73,212,9.5,32,,4.64,16,,,,4.28,
2017,Carlos Henderson,Louisiana Tech,WR,71,199,9.13,31.38,,4.46,13,36,131,7.18,,
2017,DeAngelo Henderson,Coastal Carolina,RB,67,208,9.5,29,,4.48,20,34,120,,,
2017,Trey Hendrickson,Florida Atlantic,DE,76,266,9.88,32,,4.65,,33.5,122,7.03,4.4,12.43
2017,Jordan Herdman,Simon Fraser,LB,71,238,8.13,29.88,,,,,,,,
2017,Cole Hikutini,Louisville,TE,76,247,10,32.75,,,20,,,,4.34,
2017,Brian Hill,Wyoming,RB,73,219,8.88,31.38,,4.54,15,34,125,7.03,,
2017,Delano Hill,Michigan,SS,73,216,9.38,32.13,,4.47,17,33.5,115,6.96,4.21,
2017,Bucky Hodges,Virginia Tech,TE,78,257,10.13,32.5,,4.57,18,39,134,,4.16,11.46
2017,Krishawn Hogan,Marian (IN),WR,75,222,9.88,32.13,,4.56,13,36.5,124,6.74,,
2017,Colin Holba,Louisville,LS,76,248,9.63,33.63,,5.19,,28,115,,,
2017,Mack Hollins,North Carolina,WR,76,221,9.75,33.25,,4.53,,,,,,
2017,Elijah Hood,North Carolina,RB,71,232,9.38,30.38,,,18,,,,4.34,
2017,Malik Hooker,Ohio St.,S,73,206,10.75,32.25,,,,,,,,
2017,Bug Howard,North Carolina,WR,76,221,10.38,33.13,,4.58,,37.5,119,6.95,4.15,
2017,O.J. Howard,Alabama,TE,78,251,10,33.75,,4.51,22,30,121,6.85,4.38,12.38
2017,Marlon Humphrey,Alabama,CB,72,197,8.75,32.25,,4.41,10,,125,6.75,4.28,
2017,Hayden Hunt,Colorado St.,P,72,212,9.25,29.88,,,,,,,,
2017,Kareem Hunt,Toledo,RB,70,216,9.63,31.38,,4.62,18,36.5,119,,,
2017,Danny Isidora,Miami,OG,75,306,9.88,33,,5.03,26,29,94,8.13,5.38,
2017,Adoree Jackson,USC,CB,70,186,9.25,31.38,,4.42,,36,122,,,
2017,Eddie Jackson,Alabama,S,72,201,9.25,32.25,,,10,,,,4.2,11.5
2017,Blake Jarwin,Oklahoma St.,TE,77,248,,,,,,,,,4.33,12.06
2017,Lorenzo Jerome,St. Francis (PA),S,70,204,8.63,30.63,,4.7,11,,,7.63,4.18,11.57
2017,Dorian Johnson,Pittsburgh,OG,77,300,10.88,35.25,,5.27,21,30,114,8.39,4.58,
2017,Jadar Johnson,Clemson,S,72,206,9.25,32,,4.6,19,33,119,6.9,4.18,
2017,Jaleel Johnson,Iowa,DT,75,316,9.63,33.25,,5.38,19,28,100,7.64,4.75,
2017,John Johnson,Boston College,S,72,208,9.88,32,,4.61,14,37,119,6.72,,
2017,Roderick Johnson,Florida St.,OT,79,298,10.75,36,,,,,,,5.17,
2017,Cameron Johnston,Ohio St.,P,71,194,9,31,,4.92,,,,,,
2017,Aaron Jones,Texas-El Paso,RB,69,208,9.5,32.5,,4.56,16,37.5,127,6.82,4.28,
2017,D.J. Jones,Mississippi,DT,73,319,10.25,32.5,,5.04,25,28.5,108,7.73,4.66,
2017,Jarron Jones,Notre Dame,DT,78,316,10.5,35.5,,5.33,22,20.5,,,4.53,
2017,Josh Jones,N.C. State,S,73,220,9.38,32,,4.41,20,37.5,132,,4.27,
2017,Nazair Jones,North Carolina,DT,77,304,10.88,34.63,,5.11,,24.5,101,7.93,,
